document_category,category_label,count,share
privacy_impact_review,침해요인 평가,2419,0.606265664160401
enforcement,법규 위반·제재,912,0.22857142857142856
other,기타,355,0.08897243107769423
data_provision_request,개인정보 제공 요청,127,0.03182957393483709
public_system_inspection,공공시스템·실태점검,111,0.027819548872180452
complaint_or_interpretation,민원·해석,58,0.014536340852130326
prior_review,사전적정성 검토,8,0.0020050125313283208
