decision_id,decision_date,document_category,title,applicant,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,raw_xml_path
8379,2023-11-22,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과징금;과태료;공표명령,227898000.0,제29조;제2조;제39조의15;제47조;제48조의11;제48조의2;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조;제9조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8379.xml
8389,2023-11-22,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(법인등록번호 : )대표자,2,시정명령,,제15조;제25조;제26조;제27조;제29조;제2조;제30조;제31조;제33조;제34조;제38조;제39조;제40조;제59조;제64조;제66조;제6조,유출·침해;동의·고지 위반;안전조치 미흡;처리위탁;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8389.xml
8391,2023-11-22,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,"XXXXXXXX (사업자등록번호 : XXXXXXXXXXXX)XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX대표자 XXX, XXX",2,시정명령,,제15조;제25조;제26조;제27조;제29조;제2조;제30조;제31조;제33조;제34조;제38조;제39조;제40조;제59조;제64조;제66조;제6조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;처리위탁;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8391.xml
9193,2023-11-22,enforcement,개인정보보호 법규 위반행위에 대한 시정조치 등에 관한 건,(사업자등록번호 : ) 대표자,4,과태료;개선권고,3600000.0,제15조;제16조;제2조;제61조;제63조;제66조;제75조;제7조;제8조,유출·침해;동의·고지 위반;아동 개인정보,/home/bpkim/pipc/data/raw/decisions/9193.xml
5963,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜코다스디자인 (사업자등록번호 : )대표자,4,과징금;과태료;공표명령,6600000.0,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5963.xml
5965,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜스피드옥션 (사업자등록번호 : )대표자,4,과징금;과태료;공표명령,7800000.0,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5965.xml
6387,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료;공표명령,3600000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/6387.xml
6389,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료,1800000.0,제39조의4;제3조;제48조의4;제63조;제6조;제75조;제7조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/6389.xml
6391,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료;공표명령,4500000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/6391.xml
6393,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,6300000.0,제21조;제2조;제39조의4;제3조;제48조의4;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;보유기간·파기 위반,/home/bpkim/pipc/data/raw/decisions/6393.xml
