applicant,count
소방청장,5
국가보훈처장,4
법무부장관,4
농림축산식품부장관,3
고용노동부장관,3
서울특별시장,3
경기도지사,3
국세청장,2
부산광역시장,2
국민건강보험공단 이사장,2
국토교통부장관,2
한국장애인개발원,2
대구광역시장,2
경찰청장,2
국민건강보험공단이사장,2
국민권익위원회위원장,2
서울교통공사 사장,2
한국도핑방지위원회 위원장,2
한국교통안전공단이사장,2
수원지방검찰청안산지청장,2
한국사학진흥재단이사장,2
한전엠씨에스주식회사 사장,2
경수고속도로(주) 대표이사,2
관세청장,1
부산해양경찰서장,1
질병관리청장,1
기후에너지환경부,1
한국교통안전공단,1
김해동부소방서장,1
파주시장,1
