applicant,count
(missing),96
47개 중앙행정기관의 장,3
㈜카카오 (사업자등록번호 : )제주특별자치도 제주시 첨단로 242대표자,1
"쿠팡㈜ (사업자등록번호 : )서울특별시 송파구 송파대로 570, 18층(신천동)대표자",1
㈜우아한형제들 (사업자등록번호 : )서울틀별시 송파구 위성대로 2대표자,1
㈜당근마켓 (사업자등록번호 : )서울특별시 서초구 강남대로 465 10~12층대표자,1
네이버㈜ (사업자등록번호 : )경기도 성남시 분당구 정자일로 95대표자,1
국토교통부세종특별자치시 도움6로 11대표자,1
"한국교육학술정보원 (사업자등록번호 : )대구광역시 동구 동내로 64, 1층(동내동)대표자",1
교육부세종특별자치시 갈매로 408대표자,1
한국마이크로소프트 (유)대표자 조원우,1
아마존웹서비시즈코리아 유한책임회사대표자 함기호,1
네이버클라우드 주식회사대표자 김유원,1
48개 중앙행정기관의 장,1
