year,count,recommendation_count,recommendation_rate
2018,7,0,0.0
2019,6,0,0.0
2020,134,42,0.31343283582089554
2021,39,5,0.1282051282051282
2022,333,117,0.35135135135135137
2023,512,156,0.3046875
2024,1139,169,0.14837576821773485
2025,233,30,0.12875536480686695
2026,16,10,0.625
