decision_id,decision_date,year,year_num,period,post_2020,post_2022,document_category,category_label,meeting_type,decision_type,applicant,title,sanction_strength,monetary_amount,log_monetary_amount,has_monetary_amount,document_length,order_length,reason_length,topic_cluster,topic_label,topic_subtitle,sanction_types,case_type,sanction_개선권고,sanction_고발,sanction_공표명령,sanction_과징금,sanction_과태료,sanction_시정명령,sanction_주의,case_국외이전,case_동의_고지_위반,case_목적_외_이용,case_민감정보_고유식별정보,case_보유기간_파기_위반,case_아동_개인정보,case_안전조치_미흡,case_영상정보_처리,case_유출_침해,case_접근권한_내부통제,case_정보주체_권리보장,case_제3자_제공,case_처리위탁,factor_고유식별정보_포함_여부,factor_고의_또는_중과실,factor_공표_또는_시정명령_여부,factor_국외이전_고지_동의_여부,factor_금전_제재_여부,factor_내부통제_및_안전조치_수준,factor_동의_적법성,factor_민감정보_포함_여부,factor_반복성,factor_사후_시정_노력,factor_수집_이용_목적_명확성,factor_위반_기간,factor_정보주체_규모,factor_제3자_제공_또는_위탁_구조,factor_피해_발생_또는_위험_발생,issue_01,issue_02,issue_03,issue_04,issue_05,issue_06,issue_07,issue_08,issue_09,issue_10,issue_11,sector_통신,sector_플랫폼_광고,sector_공공,sector_의료_보건,sector_금융_보험,sector_식음료_프랜차이즈,sector_숙박_여행,sector_교육_아동,sector_모빌리티_교통,sector_게임_콘텐츠,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied
6747,2024-02-14,2024,2024.0,2022-2026,1,1,enforcement,법규 위반·제재,,심의ㆍ의결,(사업자등록번호 : ) 대표자,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,1,,,0,4162,244,3771,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,주의,유출·침해;정보주체 권리보장,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6749,2024-06-12,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,교육부장관,「시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법 시행령」제정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,307,76,31,34.0,교육 법령 개인정보 침해평가,교육·학사 분야 법령 개정안의 개인정보 침해요인 평가,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
675,2022-03-23,2022,2022.0,2022-2026,1,1,data_provision_request,개인정보 제공 요청,제 1 소 위 원 회,심의ㆍ의결,서울특별시장,서울특별시의 장애인에 대한 수도요금 감면사업을 위한 보건복지부ㆍ행정안전부 보유 개인정보 제공 요청에 관한 건,0,,,0,531,295,49,2.0,공공기관 간 목적외 제공 요청,행정·복지·안전 업무 위한 보유 개인정보 제공 심의,,목적 외 이용,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
6751,2024-06-12,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,고용노동부장관,「산업안전보건법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,236,53,31,33.0,고용·노동 법령 개인정보 침해평가,고용·노동 분야 법령 개정안의 개인정보 침해요인 평가 결과,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6753,2024-06-12,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,농림축산식품부장관,「스마트농업 육성 및 지원에 관한 법률 시행령」제정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,271,66,31,25.0,농식품 분야 법령 개인정보 침해평가,농업·식품·바이오 관련 시행령·규칙 제정안의 개인정보 침해요인 평가,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6755,2024-05-22,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,재외동포청장,「사할린동포 지원에 관한 특별법 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,1,,,0,309,110,32,12.0,국가보훈 법령 개인정보 평가,보훈·국립묘지 관련 법령 개정안 개인정보 침해요인 평가,개선권고,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6757,2024-06-12,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,농림축산식품부장관,「스마트농업 육성 및 지원에 관한 법률 시행규칙」제정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,275,67,32,25.0,농식품 분야 법령 개인정보 침해평가,농업·식품·바이오 관련 시행령·규칙 제정안의 개인정보 침해요인 평가,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6759,2024-05-22,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,보건복지부장관,「노인장기요양보험법 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,240,54,32,37.0,보건복지 법령 개인정보 침해평가,사회복지·연금·의료 관련 법령 개정안의 개인정보 침해요인 평가,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6761,2024-05-22,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,보건복지부장관,「의료급여법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,0,,,0,230,50,32,43.0,보건의료법령 침해요인평가,보건복지 분야 법령 개정안의 개인정보 침해요인 평가 결과,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6763,2024-05-22,2024,2024.0,2022-2026,1,1,privacy_impact_review,침해요인 평가,제 2 소 위 원 회,심의ㆍ의결,재외동포청장,「사할린동포 지원에 관한 특별법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,1,,,0,289,88,32,12.0,국가보훈 법령 개인정보 평가,보훈·국립묘지 관련 법령 개정안 개인정보 침해요인 평가,개선권고,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
