decision_id,decision_date,year,document_category,sanction_strength,monetary_amount,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied,issue_id,issue_label
8893,2024-07-10,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
9137,2024-08-28,2024,enforcement,4,3000000.0,1,1,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
9191,2024-08-28,2024,enforcement,4,5400000.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
9199,2024-06-12,2024,other,1,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
921,2013-11-18,2013,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
9537,2022-09-14,2022,enforcement,4,30806000000.0,1,1,1,1,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
987,2018-04-23,2018,public_system_inspection,0,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
9891,2025-04-23,2025,other,1,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
993,2016-04-25,2016,public_system_inspection,0,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
997,2018-07-09,2018,data_provision_request,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
10009,2025-07-23,2025,enforcement,4,98000000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
1001,2014-06-09,2014,complaint_or_interpretation,0,,0,0,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10019,2025-07-23,2025,enforcement,4,1200000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10021,2025-07-23,2025,other,4,100000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10023,2025-07-23,2025,enforcement,4,6300000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10025,2025-07-23,2025,enforcement,4,343000000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10071,2025-02-12,2025,enforcement,4,1477000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10081,2025-06-11,2025,enforcement,4,623000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10083,2025-06-11,2025,enforcement,4,343000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10087,2025-03-26,2025,enforcement,4,600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10089,2025-03-26,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1009,2014-08-25,2014,other,0,,0,0,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10093,2025-06-11,2025,enforcement,4,80000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10099,2025-06-11,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10101,2025-07-09,2025,enforcement,4,1391000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10103,2025-06-11,2025,enforcement,4,32423000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10105,2025-07-09,2025,enforcement,4,23000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10107,2025-09-10,2025,enforcement,4,13500000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10109,2025-03-26,2025,enforcement,4,13451000000.0,1,1,0,1,1,0,0,2,대규모 유출과 과징금 비례성
10131,2025-08-27,2025,enforcement,4,134791000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10135,2025-09-10,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10137,2025-09-10,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10141,2025-07-23,2025,public_system_inspection,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10147,2025-07-23,2025,public_system_inspection,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10165,2025-10-22,2025,enforcement,4,2400000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10167,2025-09-24,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10173,2025-11-20,2025,enforcement,4,600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10175,2025-11-20,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10177,2025-11-20,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10179,2025-11-20,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10189,2025-11-26,2025,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10191,2025-11-26,2025,enforcement,4,9600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10193,2025-10-22,2025,other,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
10211,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10213,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10215,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10217,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10219,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10221,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10223,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10225,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10227,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10229,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10231,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10233,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10235,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10237,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10239,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10241,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10243,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10245,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10247,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10249,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10251,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10253,2025-11-20,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10255,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10257,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10259,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10261,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10263,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10265,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10267,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10269,2025-11-20,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10271,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10273,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10275,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10277,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10279,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10281,2025-11-20,2025,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10289,2025-09-24,2025,enforcement,4,1800000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1029,2017-04-24,2017,public_system_inspection,0,,0,0,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10291,2025-09-24,2025,enforcement,4,1200000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10303,2025-11-26,2025,other,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10307,2025-02-26,2025,enforcement,4,137000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10309,2025-03-12,2025,enforcement,4,747000000.0,1,1,1,0,1,0,0,2,대규모 유출과 과징금 비례성
1031,2013-07-08,2013,other,0,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10311,2025-05-14,2025,public_system_inspection,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10313,2025-05-14,2025,public_system_inspection,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10315,2025-09-24,2025,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10325,2025-11-20,2025,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10357,2025-09-03,2025,other,0,,0,0,0,0,0,0,1,2,대규모 유출과 과징금 비례성
10361,2025-12-10,2025,enforcement,4,98000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1037,2018-03-12,2018,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10371,2025-04-09,2025,enforcement,4,53600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10373,2025-11-26,2025,enforcement,4,133000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10375,2025-04-23,2025,enforcement,4,5400000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
